onset	offset	word	file	interval_no	tag1	tagger
0.69	1.045	that	elephants_08_5	4	[0.9]	1
1.045	1.235	into	elephants_08_5	5	[0.06748, 0.024075]	0
1.235	1.35	her	elephants_08_5	6	[0.024075, 0.052074]	0
1.35	1.74	mouth	elephants_08_5	7	[0.33276]	1
1.74	1.795	0	elephants_08_5	8		0
1.795	2.2249999	too	elephants_08_5	9	[0.35093]	1
2.2249999	0	0	elephants_08_5	10		0
0	0.02	0	elephants_09_1	0		0
0.02	0.53500003	Elephants	elephants_09_1	1	[1.299999, 0.173091, 0.121074]	1
0.53500003	0.755	like	elephants_09_1	2	[0.490718]	1
0.755	0.88	to	elephants_09_1	3	[0.101574]	0
0.88	1.0650001	live	elephants_09_1	4	[0.101574, 0.23623400000000006]	0
1.0650001	1.175	in	elephants_09_1	5	[0.301088]	0
1.175	1.37	hot	elephants_09_1	6	[0.385472]	1
1.37	2.01	places	elephants_09_1	7	[0.4632020000000001, 0.173347]	1
2.01	0	0	elephants_09_1	8		0
0	0.015	0	elephants_09_3	0		0
0.015	0.16	But	elephants_09_3	1	[0.126634]	0
0.16	0.27000001	they	elephants_09_3	2	[0.361288]	0
0.27000001	0.56	can	elephants_09_3	3	[1.201013]	1
0.56	0.75	live	elephants_09_3	4	[0.172312]	0
0.75	1.145	almost	elephants_09_3	5	[0.767334, 0.342587]	1
1.145	1.215	0	elephants_09_3	6		0
1.215	1.735	anywhere	elephants_09_3	7	[0.567851, 0.267585, 0.321884]	1
1.735	0	0	elephants_09_3	8		0
0	0.035	0	elephants_09_5	0		0
0.035	0.16	They	elephants_09_5	1	[0.558658]	1
0.16	0.37	need	elephants_09_5	2	[0.202582]	0
0.37	0.685	water	elephants_09_5	3	[0.945889, 0.742325]	1
0.685	0.81999999	to	elephants_09_5	4	[0.742325, 0.621641]	0
0.81999999	1.235	drink	elephants_09_5	5	[0.34137199999999995]	0
1.235	0	0	elephants_09_5	6		0
0	0	0	elephants_09_5	7		0
0	1.6799999	0	elephants_09_5	8		0
1.6799999	1.8150001	and	elephants_09_5	9	[0.257787]	0
1.8150001	2.3	trees	elephants_09_5	10	[1.156254]	1
2.3	2.385	to	elephants_09_5	11	[0.20731]	0
2.385	2.78	shade	elephants_09_5	12	[1.174857]	1
2.78	2.905	them	elephants_09_5	13	[0.032408]	0
2.905	2.9200001	0	elephants_09_5	14		0
2.9200001	3.1600001	from	elephants_09_5	15	[0.237082]	1
3.1600001	3.2249999	the	elephants_09_5	16	[0.01845]	0
3.2249999	3.585	sun	elephants_09_5	17	[0.01845, 0.485655]	1
3.585	0	0	elephants_09_5	18		0
0	0.015	0	elephants_10_1	0		0
0.015	0.33000001	Some	elephants_10_1	1	[1.063572]	1
0.33000001	0.35499999	0	elephants_10_1	2		0
0.35499999	0.73000002	Asian	elephants_10_1	3	[1.253594]	1
0.73000002	1.285	elephants	elephants_10_1	4	[0.327521, 0.084378, 0.276467]	1
1.285	1.42	live	elephants_10_1	5	[0.089753]	0
1.42	1.525	in	elephants_10_1	6	[0.194216]	0
1.525	1.965	hot	elephants_10_1	7	[0.735042]	1
1.965	0	0	elephants_10_1	8		0
0	2.085	0	elephants_10_1	9		0
2.085	2.3699999	wet	elephants_10_1	10	[0.750328]	1
2.3699999	2.45	0	elephants_10_1	11		0
2.45	3.4100001	rainforests	elephants_10_1	12	[1.09969, 0.076026, 0.207427]	1
3.4100001	0	0	elephants_10_1	13		0
0	0.015	0	elephants_10_3	0		0
0.015	0.41999999	Others	elephants_10_3	1	[0.974443, 0.023475]	1
0.41999999	0.58499998	live	elephants_10_3	2	[0.111513]	0
0.58499998	0.92000002	high	elephants_10_3	3	[1.200836]	1
0.92000002	1.16	up	elephants_10_3	4	[0.281758]	0
1.16	0	0	elephants_10_3	5		0
0	0	0	elephants_10_3	6		0
0	1.535	0	elephants_10_3	7		0
1.535	1.65	near	elephants_10_3	8	[0.383792]	0
1.65	2.0699999	tall	elephants_10_3	9	[0.6783140000000001]	1
2.0699999	2.845	mountains	elephants_10_3	10	[0.919161, 0.06726900000000001]	1
2.845	0	0	elephants_10_3	11		0
0	0.064999998	0	elephants_11_1	0		0
0.064999998	0.39500001	These	elephants_11_1	1	[0.94191]	1
0.39500001	0.69499999	Asian	elephants_11_1	2	[0.242157]	0
0.69499999	1.23	elephants	elephants_11_1	3	[0.142915, 0.103193, 0.256571]	1
1.23	1.245	0	elephants_11_1	4		0
1.245	1.365	live	elephants_11_1	5	[0.072354]	0
1.365	1.4450001	in	elephants_11_1	6	[0.043428]	0
1.4450001	1.515	a	elephants_11_1	7	[0.126099]	0
1.515	2.0250001	dry	elephants_11_1	8	[1.158481]	1
2.0250001	0	0	elephants_11_1	9		0
0	2.1700001	0	elephants_11_1	10		0
2.1700001	2.53	dusty	elephants_11_1	11	[0.536165, 0.06387999999999999]	0
2.53	3.1849999	forest	elephants_11_1	12	[0.371231, 0.056433]	1
3.1849999	0	0	elephants_11_1	13		0
0	0.02	0	elephants_11_3	0		0
0.02	0.33000001	Every	elephants_11_3	1	[1.027907, 0.696853]	1
0.33000001	0.815	summer	elephants_11_3	2	[0.84036, 0.550782]	1
0.815	1.01	0	elephants_11_3	3		0
1.01	1.12	the	elephants_11_3	4	[0.6236520000000001]	0
1.12	1.5	rain	elephants_11_3	5	[0.9]	1
1.5	2.0250001	comes	elephants_11_3	6	[0.367031]	0
2.0250001	0	0	elephants_11_3	7		0
0	0.029999999	0	elephants_11_5	0		0
0.029999999	0.15000001	It	elephants_11_5	1	[0.390758]	0
0.15000001	0.72000003	falls	elephants_11_5	2	[1.212889]	1
0.72000003	0.83999997	for	elephants_11_5	3	[0.042779000000000005]	0
0.83999997	1.58	weeks	elephants_11_5	4	[0.042779000000000005, 1.119103]	1
1.58	0	0	elephants_11_5	5		0
0	0.035	0	elephants_12_1	0		0
0.035	0.14	The	elephants_12_1	1	[0.102621]	0
0.14	0.565	land	elephants_12_1	2	[1.195191]	1
0.565	0.84500003	gets	elephants_12_1	3	[0.159122]	0
0.84500003	1.375	flooded	elephants_12_1	4	[0.877603, 0.093781]	1
1.375	0	0	elephants_12_1	5		0
0	0.035	0	elephants_12_3	0		0
0.035	0.16500001	But	elephants_12_3	1	[0.167432]	0
0.16500001	0.30000001	the	elephants_12_3	2	[0.386153]	0
0.30000001	0.75999999	elephants	elephants_12_3	3	[1.3, 0.180896, 0.096209]	1
0.75999999	0.995	don't	elephants_12_3	4	[0.247039]	0
0.995	1.42	mind	elephants_12_3	5	[0.7290800000000001]	1
1.42	0	0	elephants_12_3	6		0
0	0.015	0	elephants_12_5	0		0
0.015	0.18000001	They	elephants_12_5	1	[1.242687]	1
0.18000001	0.41499999	like	elephants_12_5	2	[0.9]	1
0.41499999	0.55000001	to	elephants_12_5	3	[0.06644800000000001]	0
0.55000001	1.045	swim	elephants_12_5	4	[0.905881]	1
1.045	0	0	elephants_12_5	5		0
0	0.015	0	elephants_13_1	0		0
0.015	0.73000002	Sometimes	elephants_13_1	1	[0.739309, 0.685198]	1
0.73000002	0.82499999	0	elephants_13_1	2		0
0.82499999	1.3099999	baby	elephants_13_1	3	[0.549447, 0.223983]	1
1.3099999	1.8049999	elephants	elephants_13_1	4	[0.407202, 0.041506, 0.129137]	1
1.8049999	1.8200001	0	elephants_13_1	5		0
1.8200001	2.02	hold	elephants_13_1	6	[0.048938]	0
2.02	2.175	on	elephants_13_1	7	[0.482067]	1
2.175	2.23	to	elephants_13_1	8	[0.06589099999999999]	0
2.23	2.3900001	their	elephants_13_1	9	[0.06589099999999999, 0.302481]	1
2.3900001	2.79	mothers	elephants_13_1	10	[0.326447, 0.046804000000000005]	1
2.79	3.2149999	tails	elephants_13_1	11	[1.264167]	1
3.2149999	3.23	0	elephants_13_1	12		0
3.23	3.3499999	in	elephants_13_1	13	[0.047985]	0
3.3499999	3.3800001	the	elephants_13_1	14	[0.019929]	0
3.3800001	3.885	water	elephants_13_1	15	[0.019929, 0.12884500000000002, 0.097992]	1
3.885	0	0	elephants_13_1	16		0
0	0	0	elephants_13_3	0		0
0	0.094999999	0	elephants_13_3	1		0
0.094999999	0.34999999	This	elephants_13_3	2	[0.901302]	1
0.34999999	0.64999998	keeps	elephants_13_3	3	[0.372999]	0
0.64999998	0.82499999	them	elephants_13_3	4	[0.175252]	0
0.82499999	1.255	safe	elephants_13_3	5	[1.011473]	1
1.255	1.26	0	elephants_13_3	6		0
1.26	1.355	as	elephants_13_3	7	[0.098668]	0
1.355	1.525	they	elephants_13_3	8	[0.192619]	0
1.525	1.95	splash	elephants_13_3	9	[0.87523, 0.05416]	1
1.95	2.4949999	around	elephants_13_3	10	[0.05416, 0.795078]	1
2.4949999	0	0	elephants_13_3	11		0
0	0.015	0	elephants_14_1	0		0
0.015	0.13	In	elephants_14_1	1	[0.390406]	0
0.13	0.745	Africa	elephants_14_1	2	[1.261687, 0.011536, 0.7136680000000001]	1
0.745	0	0	elephants_14_1	3		0
0	0	0	elephants_14_1	4		0
0	1.14	0	elephants_14_1	5		0
1.14	1.24	the	elephants_14_1	6	[0.249599]	0
1.24	1.665	elephants	elephants_14_1	7	[0.89491, 0.036041, 0.132162]	1
1.665	2	can't	elephants_14_1	8	[0.912901]	1
2	2.165	go	elephants_14_1	9	[0.307265]	0
2.165	2.6400001	swimming	elephants_14_1	10	[0.029091, 0.124218]	1
2.6400001	0	0	elephants_14_1	11		0
0	0.029999999	0	elephants_14_3	0		0
0.029999999	0.16500001	It	elephants_14_3	1	[0.261191]	0
0.16500001	0.61500001	hasn't	elephants_14_3	2	[0.804546]	1
0.61500001	0.98000002	rained	elephants_14_3	3	[0.982281]	1
0.98000002	1.135	for	elephants_14_3	4	[0.213839]	0
1.135	1.74	months	elephants_14_3	5	[0.512725]	1
1.74	0	0	elephants_14_3	6		0
0	0.045000002	0	elephants_14_5	0		0
0.045000002	0.1	The	elephants_14_5	1	[0.160473]	0
0.1	0.54500002	trees	elephants_14_5	2	[0.160473, 0.803937, 0.057763]	1
0.54500002	0.685	and	elephants_14_5	3	[0.057763]	0
0.685	1.16	bushes	elephants_14_5	4	[0.636696, 0.117422, 0.041695]	1
1.16	1.1900001	are	elephants_14_5	5	[0.041695]	0
1.1900001	1.6950001	turning	elephants_14_5	6	[1.3, 0.029057]	1
1.6950001	2.23	brown	elephants_14_5	7	[1.065079]	1
2.23	0	0	elephants_14_5	8		0
0	0.1	0	elephants_14_7	0		0
0.1	0.145	The	elephants_14_7	1	[0.33386]	0
0.145	0.63499999	water	elephants_14_7	2	[0.33386, 1.3, 0.038697]	1
0.63499999	0.86000001	is	elephants_14_7	3	[0.038697, 0.26250100000000004]	0
0.86000001	1.235	drying	elephants_14_7	4	[0.934028, 0.056972]	1
1.235	1.39	up	elephants_14_7	5	[0.32925]	1
1.39	1.4	0	elephants_14_7	6		0
1.4	1.83	too	elephants_14_7	7	[0.831142]	1
1.83	0	0	elephants_14_7	8		0
0	0.075000003	0	elephants_14_9	0		0
0.075000003	0.29499999	There's	elephants_14_9	1	[0.179478]	0
0.29499999	0.67000002	no	elephants_14_9	2	[1.299641]	1
0.67000002	1.09	food	elephants_14_9	3	[1.148774]	1
1.09	1.205	for	elephants_14_9	4	[0.044568]	0
1.205	1.365	the	elephants_14_9	5	[0.044568, 0.635749]	1
1.365	1.855	elephants	elephants_14_9	6	[0.305998, 0.091553, 0.12961199999999998]	0
1.855	1.87	0	elephants_14_9	7		0
1.87	2.0599999	to	elephants_14_9	8	[0.346413]	0
2.0599999	2.425	eat	elephants_14_9	9	[0.529636]	1
2.425	0	0	elephants_14_9	10		0
0	0.015	0	elephants_15_1	0		0
0.015	0.505	So	elephants_15_1	1	[1.184663]	1
0.505	0.51999998	0	elephants_15_1	2		0
0.51999998	0.71499997	the	elephants_15_1	3	[0.221941]	0
0.71499997	0.73500001	0	elephants_15_1	4		0
0.73500001	1.245	elephants	elephants_15_1	5	[0.492007, 0.08226599999999999, 0.097108]	1
1.245	1.465	go	elephants_15_1	6	[0.434953]	1
1.465	1.6	on	elephants_15_1	7	[0.231796]	0
1.6	1.6950001	a	elephants_15_1	8	[0.274149]	0
1.6950001	2.1300001	long	elephants_15_1	9	[0.992088]	1
2.1300001	2.625	journey	elephants_15_1	10	[0.726725, 0.268469]	1
2.625	2.6400001	0	elephants_15_1	11		0
2.6400001	2.79	to	elephants_15_1	12	[0.039285]	0
2.79	3.155	find	elephants_15_1	13	[0.564708]	1
3.155	3.6199999	food	elephants_15_1	14	[0.772213]	1
3.6199999	3.675	0	elephants_15_1	15		0
3.675	3.79	and	elephants_15_1	16	[0.029878]	0
3.79	4.2199998	water	elephants_15_1	17	[0.064884, 0.125475]	1
4.2199998	0	0	elephants_15_1	18		0
0	0	0	elephants_15_3	0		0
0	0.079999998	0	elephants_15_3	1		0
0.079999998	0.19	They	elephants_15_3	2	[0.48612]	1
0.19	0.56	travel	elephants_15_3	3	[0.390967]	0
0.56	0.72500002	in	elephants_15_3	4	[0.349111]	1
0.72500002	1.215	groups	elephants_15_3	5	[0.160074]	0
1.215	1.235	0	elephants_15_3	6		0
1.235	1.635	called	elephants_15_3	7	[0.092908]	0
1.635	2.22	herds	elephants_15_3	8	[0.9]	1
2.22	0	0	elephants_15_3	9		0
0	0.035	0	elephants_15_5	0		0
0.035	0.15000001	They	elephants_15_5	1	[0.42415]	0
0.15000001	0.58499998	walk	elephants_15_5	2	[0.752216]	1
0.58499998	0.76499999	for	elephants_15_5	3	[0.092333]	0
0.76499999	0.92500001	0	elephants_15_5	4		0
0.92500001	1.51	hours	elephants_15_5	5	[0.969206, 0.14868299999999998]	1
1.51	1.5700001	0	elephants_15_5	6		0
1.5700001	1.735	and	elephants_15_5	7	[0.030541]	0
1.735	1.88	0	elephants_15_5	8		0
1.88	2.51	hours	elephants_15_5	9	[1.10854, 0.061213]	1
2.51	0	0	elephants_15_5	10		0
0	0.079999998	0	elephants_16_1	0		0
0.079999998	0.19499999	At	elephants_16_1	1	[0.094496]	0
0.19499999	0.76999998	last	elephants_16_1	2	[1.166616]	1
0.76999998	0	0	elephants_16_1	3		0
0	0.89499998	0	elephants_16_1	4		0
0.89499998	1.05	the	elephants_16_1	5	[0.183582]	0
1.05	1.0650001	0	elephants_16_1	6		0
1.0650001	1.545	elephants	elephants_16_1	7	[0.989206, 0.03967, 0.140494]	1
1.545	1.88	find	elephants_16_1	8	[1.146992]	1
1.88	1.92	a	elephants_16_1	9	[0.057186]	0
1.92	2.325	pool	elephants_16_1	10	[0.038243]	0
2.325	2.4649999	of	elephants_16_1	11	[0.227873]	1
2.4649999	2.49	0	elephants_16_1	12		0
2.49	2.9549999	water	elephants_16_1	13	[0.041155, 0.08416900000000001]	1
2.9549999	0	0	elephants_16_1	14		0
0	0	0	elephants_16_3	0		0
0	0.12	0	elephants_16_3	1		0
0.12	0.16	The	elephants_16_3	2	[0.043486]	0
0.16	0.58499998	baby	elephants_16_3	3	[0.043486, 1.3, 0.231309]	1
0.58499998	1.0549999	elephants	elephants_16_3	4	[0.1634, 0.292649, 0.132715]	1
1.0549999	1.535	play	elephants_16_3	5	[0.546125]	1
1.535	0	0	elephants_16_3	6		0
0	0.039999999	0	elephants_16_5	0		0
0.039999999	0.2	The	elephants_16_5	1	[0.449296]	0
0.2	0.23	0	elephants_16_5	2		0
0.23	0.72000003	adults	elephants_16_5	3	[0.9, 0.1196]	1
0.72000003	0.75999999	0	elephants_16_5	4		0
0.75999999	1.245	drink	elephants_16_5	5	[0.546071]	1
1.245	0	0	elephants_16_5	6		0
0	0	0	elephants_16_5	7		0
0	1.74	0	elephants_16_5	8		0
1.74	1.865	and	elephants_16_5	9	[0.159352]	0
1.865	2.4400001	drink	elephants_16_5	10	[0.418209]	1
2.4400001	0	0	elephants_16_5	11		0
0	2.905	0	elephants_16_5	12		0
2.905	3.2850001	until	elephants_16_5	13	[0.061081, 0.079163]	0
3.2850001	3.48	they're	elephants_16_5	14	[0.488411]	1
3.48	3.9449999	full	elephants_16_5	15	[0.021756]	0
3.9449999	0	0	elephants_16_5	16		0
0	0.045000002	0	elephants_17_1	0		0
0.045000002	0.11	A	elephants_17_1	1	[0.09633]	0
0.11	0.565	lion	elephants_17_1	2	[1.3, 0.014782]	1
0.565	0.73500001	is	elephants_17_1	3	[0.10538]	0
0.73500001	1.1849999	watching	elephants_17_1	4	[0.24689, 0.184077]	1
1.1849999	1.3049999	the	elephants_17_1	5	[0.128218]	0
1.3049999	1.625	elephant	elephants_17_1	6	[0.126658, 0.04839, 0.009169]	0
1.625	2.22	babies	elephants_17_1	7	[0.360673, 0.14116199999999998]	1
2.22	0	0	elephants_17_1	8		0
0	0.039999999	0	elephants_17_3	0		0
0.039999999	0.125	He	elephants_17_3	1	[0.22434]	0
0.125	0.565	spots	elephants_17_3	2	[0.7749010000000001]	0
0.565	0.83499998	one	elephants_17_3	3	[1.29991]	1
0.83499998	1.145	baby	elephants_17_3	4	[0.328615, 0.188506]	0
1.145	1.585	elephant	elephants_17_3	5	[0.116353, 0.15292, 0.132894]	1
1.585	0	0	elephants_17_3	6		0
0	0	0	elephants_17_3	7		0
0	1.85	0	elephants_17_3	8		0
1.85	2.26	standing	elephants_17_3	9	[0.845831, 0.147651]	1
2.26	2.76	alone	elephants_17_3	10	[0.143341, 0.754947]	1
2.76	0	0	elephants_17_3	11		0
0	0.015	0	elephants_18_1	0		0
0.015	0.19499999	But	elephants_18_1	1	[0.530982]	1
0.19499999	0.31	her	elephants_18_1	2	[0.582212]	0
0.31	0.64999998	mother	elephants_18_1	3	[0.9, 0.25725]	1
0.64999998	1.005	hears	elephants_18_1	4	[1.204979]	1
1.005	1.125	the	elephants_18_1	5	[0.044584]	0
1.125	1.545	lion	elephants_18_1	6	[0.044584, 0.357108, 0.012452]	1
1.545	0	0	elephants_18_1	7		0
0	0.025	0	elephants_18_3	0		0
0.025	0.205	She	elephants_18_3	1	[0.027651]	0
0.205	0.68000001	flaps	elephants_18_3	2	[0.5417810000000001]	1
0.68000001	0.86000001	her	elephants_18_3	3	[0.118582]	0
0.86000001	1.3	ears	elephants_18_3	4	[0.250729]	1
1.3	0	0	elephants_18_3	5		0
0	0	0	elephants_18_3	6		0
0	1.73	0	elephants_18_3	7		0
1.73	2.2	lifts	elephants_18_3	8	[0.304912]	1
2.2	2.3050001	her	elephants_18_3	9	[0.114148]	0
2.3050001	2.79	trunk	elephants_18_3	10	[0.096739]	1
2.79	0	0	elephants_18_3	11		0
0	3.0550001	0	elephants_18_3	12		0
3.0550001	3.4649999	and	elephants_18_3	13	[0.534625]	1
3.4649999	3.6900001	0	elephants_18_3	14		0
3.6900001	4.8899999	trumpets	elephants_18_3	15	[1.3, 0.131191]	1
4.8899999	0	0	elephants_18_3	16		0
0	0.07	0	elephants_18_5	0		0
0.07	0.155	The	elephants_18_5	1	[0.146793]	0
0.155	0.72500002	lion	elephants_18_5	2	[0.146793, 1.3, 0.009472]	1
0.72500002	1.3049999	slinks	elephants_18_5	3	[0.31414200000000003]	1
1.3049999	1.8	away	elephants_18_5	4	[0.035196, 0.29588200000000003]	1
1.8	0	0	elephants_18_5	5		0
0	0	0	elephants_18_7	0		0
0	0.125	0	elephants_18_7	1		0
0.125	0.205	The	elephants_18_7	2	[0.015602]	0
0.205	0.69999999	scared	elephants_18_7	3	[0.015602, 1.143644]	1
0.69999999	1.1	baby	elephants_18_7	4	[0.8634639999999999, 0.100462]	1
1.1	1.575	elephant	elephants_18_7	5	[0.08918999999999999, 0.007739, 0.095909]	0
1.575	2.0250001	hides	elephants_18_7	6	[1.1121450000000002]	1
2.0250001	2.04	0	elephants_18_7	7		0
2.04	2.2950001	under	elephants_18_7	8	[0.40964, 0.07134700000000001]	0
2.2950001	2.4400001	her	elephants_18_7	9	[0.101136]	0
2.4400001	2.8800001	mother	elephants_18_7	10	[0.311262, 0.11671199999999997]	1
2.8800001	0	0	elephants_18_7	11		0
0	0.025	0	elephants_19_1	0		0
0.025	0.38	Female	elephants_19_1	1	[1.3, 0.225441, 0.072186]	1
0.38	1.01	elephants	elephants_19_1	2	[0.072186, 0.1994, 0.353082]	1
1.01	1.15	live	elephants_19_1	3	[0.144924]	0
1.15	1.265	in	elephants_19_1	4	[0.266654]	0
1.265	1.775	herds	elephants_19_1	5	[0.747786]	1
1.775	0	0	elephants_19_1	6		0
0	1.88	0	elephants_19_1	7		0
1.88	1.985	with	elephants_19_1	8	[0.138599]	0
1.985	2.1300001	their	elephants_19_1	9	[0.570126]	1
2.1300001	2.6700001	babies	elephants_19_1	10	[0.541235, 0.097609]	1
2.6700001	0	0	elephants_19_1	11		0
0	0.02	0	elephants_19_3	0		0
0.02	0.255	Male	elephants_19_3	1	[1.247083]	1
0.255	0.80000001	elephants	elephants_19_3	2	[0.14786, 0.017291, 0.117865]	1
0.80000001	0.93000001	live	elephants_19_3	3	[0.081833, 0.293663]	0
0.93000001	1.365	alone	elephants_19_3	4	[0.293663, 0.675125]	1
1.365	0	0	elephants_19_3	5		0
0	0	0	elephants_19_3	6		0
0	1.72	0	elephants_19_3	7		0
1.72	1.8200001	or	elephants_19_3	8	[0.325264]	1
1.8200001	1.985	with	elephants_19_3	9	[0.149201]	0
1.985	2.1800001	other	elephants_19_3	10	[0.39195, 0.084632]	1
2.1800001	2.7349999	males	elephants_19_3	11	[0.827067]	1
2.7349999	0	0	elephants_19_3	12		0
0	0.015	0	elephants_20_1	0		0
0.015	0.65499997	Sometimes	elephants_20_1	1	[0.690627, 0.27928000000000003]	1
0.65499997	0.67500001	0	elephants_20_1	2		0
0.67500001	0.75	male	elephants_20_1	3	[0.339623]	0
0.75	1.365	elephants	elephants_20_1	4	[0.339623, 0.5168149999999999, 0.295055, 0.054328]	1
1.365	1.83	fight	elephants_20_1	5	[1.012954]	1
1.83	0	0	elephants_20_1	6		0
0	0.064999998	0	elephants_20_3	0		0
0.064999998	0.16	They	elephants_20_3	1	[0.464618]	0
0.16	0.45500001	want	elephants_20_3	2	[0.736121]	1
0.45500001	0.495	the	elephants_20_3	3	[0.016665]	0
0.495	1.085	females	elephants_20_3	4	[0.016665, 1.29886, 0.07357999999999999]	1
1.085	1.1	0	elephants_20_3	5		0
1.1	1.205	to	elephants_20_3	6	[0.038275]	0
1.205	1.67	notice	elephants_20_3	7	[0.038275, 0.806062, 0.207778]	1
1.67	1.9349999	them	elephants_20_3	8	[0.042691]	0
1.9349999	0	0	elephants_20_3	9		0
0	0.045000002	0	elephants_20_5	0		0
0.045000002	0.064999998	A	elephants_20_5	1	[0.172741]	0
0.064999998	0.44999999	female	elephants_20_5	2	[0.172741, 0.980758, 0.386541]	1
0.44999999	1	elephant	elephants_20_5	3	[0.42043, 0.682666, 0.106938]	1
1	1.5549999	chooses	elephants_20_5	4	[0.944092, 0.325112]	1
1.5549999	1.605	a	elephants_20_5	5	[0.288096]	0
1.605	1.885	male	elephants_20_5	6	[0.688157]	1
1.885	1.9	0	elephants_20_5	7		0
1.9	2.0150001	to	elephants_20_5	8	[0.034479]	0
2.0150001	2.2149999	be	elephants_20_5	9	[0.034479, 1.032961]	1
2.2149999	2.325	her	elephants_20_5	10	[0.133499]	0
2.325	2.825	partner	elephants_20_5	11	[0.5636979999999999, 0.23769]	1
2.825	0	0	elephants_20_5	12		0
0	0.045000002	0	elephants_20_7	0		0
0.045000002	0.14	They	elephants_20_7	1	[0.339636]	0
0.14	0.41999999	move	elephants_20_7	2	[1.283688, 0.052946000000000014]	1
0.41999999	0.70999998	away	elephants_20_7	3	[0.052946000000000014, 0.9]	1
0.70999998	0.94999999	from	elephants_20_7	4	[0.031294]	0
0.94999999	1.01	the	elephants_20_7	5	[0.084737]	0
1.01	1.29	group	elephants_20_7	6	[0.084737, 0.115283]	0
1.29	1.3	0	elephants_20_7	7		0
1.3	1.85	together	elephants_20_7	8	[0.480937, 0.814408, 0.281503]	1
1.85	1.985	0	elephants_20_7	9		0
1.985	2.1600001	for	elephants_20_7	10	[0.492654, 0.133437]	1
2.1600001	2.1800001	a	elephants_20_7	11	[0.133437]	0
2.1800001	2.6300001	while	elephants_20_7	12	[0.133437, 1.021634]	1
2.6300001	0	0	elephants_20_7	13		0
0	0.015	0	elephants_21_1	0		0
0.015	0.52499998	Soon	elephants_21_1	1	[0.973135]	1
0.52499998	0.56	0	elephants_21_1	2		0
0.56	0.63499999	a	elephants_21_1	3	[0.265225]	0
0.63499999	1.125	baby	elephants_21_1	4	[1.153311, 0.460363]	1
1.125	1.515	elephant	elephants_21_1	5	[0.515153, 0.07492, 0.151528]	1
1.515	1.53	0	elephants_21_1	6		0
1.53	1.67	is	elephants_21_1	7	[0.070797]	0
1.67	1.99	growing	elephants_21_1	8	[0.294365, 0.057129]	1
1.99	2.4549999	inside	elephants_21_1	9	[0.124894, 0.5834050000000001]	1
2.4549999	2.5150001	the	elephants_21_1	10	[0.016106]	0
2.5150001	3.0450001	female	elephants_21_1	11	[0.016106, 0.284642, 0.258066]	1
3.0450001	0	0	elephants_21_1	12		0
0	0.02	0	elephants_21_3	0		0
0.02	0.050000001	It	elephants_21_3	1	[0.034156]	0
0.050000001	0.55000001	grows	elephants_21_3	2	[1.3]	1
0.55000001	0.66500002	for	elephants_21_3	3	[0.146314]	0
0.66500002	1.08	nearly	elephants_21_3	4	[1.154568, 0.278271]	1
1.08	1.495	two	elephants_21_3	5	[1.096434]	1
1.495	2.0250001	years	elephants_21_3	6	[0.941563]	1
2.0250001	0	0	elephants_21_3	7		0
0	0	0	elephants_21_5	0		0
0	0.13	0	elephants_21_5	1		0
0.13	0.23	At	elephants_21_5	2	[0.183675]	0
0.23	0.26499999	0	elephants_21_5	3		0
0.26499999	0.80500001	last	elephants_21_5	4	[1.212591]	1
0.80500001	0.90499997	0	elephants_21_5	5		0
0.90499997	1.0549999	it	elephants_21_5	6	[0.36974]	1
1.0549999	1.1849999	is	elephants_21_5	7	[0.089806]	0
1.1849999	1.575	ready	elephants_21_5	8	[0.392907, 0.422154]	1
1.575	1.6950001	to	elephants_21_5	9	[0.181605]	0
1.6950001	1.83	be	elephants_21_5	10	[0.181605, 0.192331]	0
1.83	2.26	born	elephants_21_5	11	[0.352067]	1
2.26	0	0	elephants_21_5	12		0
0	0.045000002	0	elephants_21_7	0		0
0.045000002	0.11	The	elephants_21_7	1	[0.161064]	0
0.11	0.41999999	mother	elephants_21_7	2	[0.161064, 1.281273, 0.436694]	1
0.41999999	0.435	0	elephants_21_7	3		0
0.435	0.96499997	elephant	elephants_21_7	4	[0.539115, 0.308086, 0.136471]	1
0.96499997	1.37	slips	elephants_21_7	5	[0.224636, 0.370512]	0
1.37	1.655	away	elephants_21_7	6	[0.370512, 0.8522379999999999]	1
1.655	1.88	from	elephants_21_7	7	[0.029821]	0
1.88	2	the	elephants_21_7	8	[0.331563]	0
2	2.375	herd	elephants_21_7	9	[0.991388]	1
2.375	0	0	elephants_21_7	10		0
0	0	0	elephants_21_9	0		0
0	0.059999999	0	elephants_21_9	1		0
0.059999999	0.36500001	Another	elephants_21_9	2	[0.171417, 1.3, 0.13675199999999998]	1
0.36500001	0.685	female	elephants_21_9	3	[0.315745, 0.039178]	1
0.685	1.1849999	elephant	elephants_21_9	4	[0.039178, 0.189577, 0.371664, 0.176249]	1
1.1849999	1.2	0	elephants_21_9	5		0
1.2	1.46	goes	elephants_21_9	6	[0.439499]	1
1.46	1.63	with	elephants_21_9	7	[0.215105]	0
1.63	1.83	her	elephants_21_9	8	[0.244568]	1
1.83	1.87	0	elephants_21_9	9		0
1.87	2.1700001	to	elephants_21_9	10	[0.29191300000000003]	1
2.1700001	2.585	help	elephants_21_9	11	[0.14683]	0
2.585	0	0	elephants_21_9	12		0
0	0.039999999	0	elephants_22_1	0		0
